year, lg, tm, player, player, player, player, player
2002-03,NBA,2nd,Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Allen Iverson G,Jason Kidd G
2002-03,NBA,3rd,Jermaine O'Neal C,Jamal Mashburn F,Paul Pierce F,Stephon Marbury G,Steve Nash G
2001-02,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Kobe Bryant G,Jason Kidd G
2001-02,NBA,2nd,Dirk Nowitzki C,Kevin Garnett F,Chris Webber F,Allen Iverson G,Gary Payton G
2001-02,NBA,3rd,Dikembe Mutombo C,Jermaine O'Neal F,Ben Wallace F,Steve Nash G,Paul Pierce G
2000-01,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Chris Webber F,Allen Iverson G,Jason Kidd G
2000-01,NBA,2nd,Dikembe Mutombo C,Vince Carter F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2000-01,NBA,3rd,David Robinson C,Karl Malone F,Dirk Nowitzki F,Ray Allen G,Gary Payton G
1999-00,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Jason Kidd G,Gary Payton G
1999-00,NBA,2nd,Alonzo Mourning C,Grant Hill F,Karl Malone F,Kobe Bryant G,Allen Iverson G
1999-00,NBA,3rd,David Robinson C,Vince Carter F,Chris Webber F,Eddie Jones G,Stephon Marbury G
1998-99,NBA,1st,Alonzo Mourning C,Tim Duncan F,Karl Malone F,Allen Iverson G,Jason Kidd G
1998-99,NBA,2nd,Shaquille O'Neal C,Grant Hill F,Chris Webber F,Tim Hardaway G,Gary Payton G
1998-99,NBA,3rd,Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G
1997-98,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G
1997-98,NBA,2nd,David Robinson C,Vin Baker F,Grant Hill F,Tim Hardaway G,Rod Strickland G
1997-98,NBA,3rd,Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Reggie Miller G,Mitch Richmond G
1996-97,NBA,1st,Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G
1996-97,NBA,2nd,Patrick Ewing C,Scottie Pippen F,Glen Rice F,Gary Payton G,Mitch Richmond G
1996-97,NBA,3rd,Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G
1995-96,NBA,1st,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,Michael Jordan G
1995-96,NBA,2nd,Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,Gary Payton G,John Stockton G
1995-96,NBA,3rd,Shaquille O'Neal C,Charles Barkley F,Juwan Howard F,Reggie Miller G,Mitch Richmond G
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
